hidden_features,num_heads,dropout,lr,weight_decay,use_class_weights,prauc,f1,precision,recall
8,4,0.3,0.001,0.0005,False,0.3917045653022302,0.40540540540540543,0.46875,0.35714285714285715
32,4,0.3,0.001,0.0005,True,0.38227525468621903,0.4715447154471545,0.35802469135802467,0.6904761904761905
8,8,0.3,0.0005,0.0005,False,0.3742518835758555,0.425531914893617,0.38461538461538464,0.47619047619047616
8,4,0.3,0.0005,0.0001,False,0.35848224511601495,0.36585365853658536,0.375,0.35714285714285715
8,4,0.5,0.01,0.0005,True,0.34144628067471094,0.39215686274509803,0.3333333333333333,0.47619047619047616
32,4,0.3,0.0005,0.0001,False,0.3197721959881593,0.3695652173913043,0.34,0.40476190476190477
8,4,0.5,0.01,0.0001,True,0.3055116212566696,0.36619718309859156,0.4482758620689655,0.30952380952380953
16,4,0.3,0.0005,0.0005,True,0.3015097524417471,0.375,0.3333333333333333,0.42857142857142855
16,8,0.5,0.01,0.0005,True,0.29590641596634837,0.375,0.39473684210526316,0.35714285714285715
16,4,0.3,0.0005,0.0001,True,0.29369356785410083,0.4074074074074074,0.3333333333333333,0.5238095238095238
32,8,0.5,0.01,0.0005,False,0.27334610639175905,0.39520958083832336,0.264,0.7857142857142857
16,8,0.5,0.01,0.0005,False,0.2556531850940451,0.3963963963963964,0.3188405797101449,0.5238095238095238
